LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	3PTM	3PTA	3PT%	FGM	FGA	FG%	FTM	FTA	FT%	OR	DR	TR	AST	PF	DF	ST	TO	BLK	BLKA	VAL	+ / -
Kotsar M., Howard M., Costello M., Henry P., Giedraitis R.	BSK	9.3	18	6	8	75%	2	4	50%	8	12	67%	0	0	-	1	2	3	7	4	4	1	3	0	0	22	-14
Baron B., Davies B., Hall D., Hines K., Luwawu-Cabarrot T.	MIL	5.1	14	5	6	83%	0	2	0%	5	8	63%	4	4	100%	3	2	5	4	3	5	1	2	0	1	20	3
Baron B., Davies B., Hines K., Mitrou-Long N., Luwawu-Cabarrot T.	MIL	8.9	13	3	7	43%	2	7	29%	5	14	36%	1	2	50%	2	5	7	3	6	4	3	5	1	0	10	4
Costello M., Henry P., Giedraitis R., Enoch S., Marinkovic V.	BSK	1.8	4	2	2	100%	0	0	-	2	2	100%	0	0	-	0	2	2	1	1	0	1	2	0	0	5	4
Kurucs A., Costello M., Henry P., Enoch S., Marinkovic V.	BSK	5.2	5	0	3	0%	1	5	20%	1	8	13%	2	4	50%	1	4	5	2	3	4	2	0	1	1	6	-3
Baron B., Davies B., Hall D., Hines K., Mitrou-Long N.	MIL	3.9	0	0	3	0%	0	2	0%	0	5	0%	0	0	-	1	4	5	0	2	0	0	3	0	0	-5	-7
Baron B., Hall D., Hines K., Mitrou-Long N., Melli N.	MIL	14.9	35	3	7	43%	7	13	54%	10	20	50%	8	10	80%	2	12	14	9	6	9	0	4	0	1	44	9
Baron B., Hall D., Ricci G., Hines K., Mitrou-Long N.	MIL	0.4	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	-3
Alviti D., Hall D., Hines K., Mitrou-Long N., Melli N.	MIL	0.3	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	-2
Davies B., Alviti D., Hall D., Mitrou-Long N., Melli N.	MIL	5.7	10	1	3	33%	2	5	40%	3	8	38%	2	2	100%	2	3	5	4	2	2	1	2	0	2	11	-1
Thompson D., Costello M., Henry P., Enoch S., Marinkovic V.	BSK	2.7	2	1	5	20%	0	2	0%	1	7	14%	0	0	-	3	2	5	0	1	0	0	0	0	1	-1	-2
Thompson D., Howard M., Costello M., Enoch S., Marinkovic V.	BSK	3.3	8	1	3	33%	2	3	67%	3	6	50%	0	0	-	1	2	3	1	2	1	0	1	0	0	7	5
Thompson D., Hommes D., Howard M., Costello M., Marinkovic V.	BSK	3.5	13	3	3	100%	1	5	20%	4	8	50%	4	4	100%	1	2	3	4	1	3	0	0	0	0	18	10
Baron B., Alviti D., Voigtmann J., Mitrou-Long N., Melli N.	MIL	1.4	4	1	1	100%	0	1	0%	1	2	50%	2	2	100%	1	0	1	2	0	2	0	0	0	0	8	1
Baron B., Hall D., Voigtmann J., Mitrou-Long N., Melli N.	MIL	0.4	0	0	0	-	0	0	-	0	0	-	0	1	0%	0	0	0	0	1	0	0	0	0	0	-2	-4
Baron B., Alviti D., Hall D., Voigtmann J., Melli N.	MIL	0.8	2	0	0	-	0	2	0%	0	2	0%	2	3	67%	1	0	1	1	0	1	0	0	0	0	2	1
Baron B., Alviti D., Hall D., Hines K., Melli N.	MIL	2	4	1	2	50%	0	0	-	1	2	50%	2	2	100%	0	1	1	0	1	1	1	0	0	0	5	0
Baron B., Davies B., Hall D., Hines K., Baldasso T.	MIL	4.3	8	1	2	50%	1	3	33%	2	5	40%	3	3	100%	0	4	4	2	3	2	1	1	1	0	11	4
Diez D., Henry P., Giedraitis R., Enoch S., Marinkovic V.	BSK	1.3	0	0	0	-	0	2	0%	0	2	0%	0	0	-	0	1	1	0	1	1	0	0	0	0	-1	-5
Diez D., Thompson D., Henry P., Enoch S., Marinkovic V.	BSK	0.4	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	0	0	1	0	0	0	0	0
Baron B., Hall D., Ricci G., Hines K., Baldasso T.	MIL	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	1	0	0	0	1	-1
Thompson D., Hommes D., Henry P., Enoch S., Marinkovic V.	BSK	1.2	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	1	0	0	0	0	-1	-4
Baron B., Hines K., Mitrou-Long N., Melli N., Baldasso T.	MIL	3	3	0	0	-	1	3	33%	1	3	33%	0	0	-	0	2	2	1	3	0	0	1	0	0	0	-1
Thompson D., Hommes D., Kotsar M., Henry P., Marinkovic V.	BSK	5.2	14	2	2	100%	2	5	40%	4	7	57%	4	4	100%	0	4	4	2	1	2	1	0	0	0	19	8
Baron B., Hall D., Voigtmann J., Hines K., Baldasso T.	MIL	2.4	3	0	0	-	1	3	33%	1	3	33%	0	0	-	0	1	1	1	0	0	0	2	0	0	1	-7
Davies B., Alviti D., Hall D., Voigtmann J., Baldasso T.	MIL	4.6	11	4	7	57%	1	3	33%	5	10	50%	0	3	0%	4	3	7	3	3	6	0	0	0	0	16	1
Kurucs A., Hommes D., Howard M., Costello M., Henry P.	BSK	1.2	3	0	1	0%	1	1	100%	1	2	50%	0	0	-	0	2	2	1	2	0	0	0	0	0	3	1
Papapetrou I., Nunnally J., Brodziansky V., Madar Y., Leday Z.	PAR	5.6	11	2	4	50%	2	3	67%	4	7	57%	1	2	50%	0	2	2	3	1	3	0	0	1	0	15	-2
Pradilla J., Harper J., Rivero J., Puerto J., Lopez-Arostegui X.	VBC	1.2	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	1	1	0	2	0	0	1	0	0	-3	-2
Pradilla J., Harper J., Puerto J., Alexander K., Lopez-Arostegui X.	VBC	3	8	2	3	67%	0	1	0%	2	4	50%	4	4	100%	0	3	3	1	0	4	0	0	1	0	15	5
Andjusic D., Papapetrou I., Punter K., Lessort M., Vukcevic T.	PAR	1.5	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	0	0	0	2	0	0	1	0	1	-3	-4
Andjusic D., Papapetrou I., Lessort M., Vukcevic T., Madar Y.	PAR	2	2	1	1	100%	0	3	0%	1	4	25%	0	0	-	1	1	2	0	2	1	0	0	0	0	0	-2
Jones C., Webb J., Alexander K., Claver V., Lopez-Arostegui X.	VBC	0.8	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	1	1	2	0	1	0	0	0	0	0	2	0
Andjusic D., Papapetrou I., Lessort M., Madar Y., Leday Z.	PAR	11.4	25	6	7	86%	3	6	50%	9	13	69%	4	4	100%	2	7	9	5	5	4	0	5	0	0	29	1
Dubljevic B., Jones C., Webb J., Rivero J., Lopez-Arostegui X.	VBC	1.3	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	2	2	0	2	0	0	1	0	0	0	-3
Dubljevic B., Webb J., Harper J., Rivero J., Lopez-Arostegui X.	VBC	6.7	17	3	4	75%	3	4	75%	6	8	75%	2	2	100%	2	2	4	4	4	5	0	2	0	0	22	0
Dubljevic B., Webb J., Harper J., Rivero J., Puerto J.	VBC	0.8	1	0	1	0%	0	0	-	0	1	0%	1	1	100%	0	0	0	0	1	0	0	1	0	0	-2	-4
Jones C., Webb J., Rivero J., Puerto J., Alexander K.	VBC	1	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	-4
Papapetrou I., Nunnally J., Lessort M., Trifunovic U., Leday Z.	PAR	3.8	6	2	2	100%	0	3	0%	2	5	40%	2	2	100%	0	3	3	1	2	0	0	1	0	0	4	-5
Jones C., Webb J., Harper J., Rivero J., Alexander K.	VBC	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-3
Nunnally J., Punter K., Lessort M., Trifunovic U., Leday Z.	PAR	2.9	6	1	3	33%	1	1	100%	2	4	50%	1	1	100%	1	3	4	0	1	1	0	0	0	1	7	3
Dubljevic B., Jones C., Pradilla J., Puerto J., Lopez-Arostegui X.	VBC	1.2	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	0	0	1	0	0	0	2	0	0	2	-1
Jones C., Pradilla J., Rivero J., Puerto J., Lopez-Arostegui X.	VBC	4.1	8	4	5	80%	0	0	-	4	5	80%	0	0	-	1	1	2	3	7	1	2	4	0	1	3	2
Jones C., Harper J., Rivero J., Puerto J., Lopez-Arostegui X.	VBC	0.5	2	1	2	50%	0	0	-	1	2	50%	0	0	-	1	0	1	0	0	0	0	0	0	0	2	2
Jones C., Pradilla J., Rivero J., Claver V., Lopez-Arostegui X.	VBC	0.9	1	0	1	0%	0	0	-	0	1	0%	1	1	100%	1	0	1	0	1	0	0	0	1	1	0	-1
Webb J., Harper J., Rivero J., Claver V., Lopez-Arostegui X.	VBC	13.2	38	6	8	75%	5	10	50%	11	18	61%	11	12	92%	1	7	8	4	5	9	5	2	0	0	49	17
Webb J., Rivero J., Puerto J., Claver V., Lopez-Arostegui X.	VBC	0.2	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	0	0	0	-1	-2
Webb J., Harper J., Rivero J., Puerto J., Lopez-Arostegui X.	VBC	0.6	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	1	0	0	-2	-2
Webb J., Rivero J., Radebaugh J., Claver V., Lopez-Arostegui X.	VBC	0.9	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	1	1	0	0	1	-6
Webb J., Harper J., Rivero J., Radebaugh J., Lopez-Arostegui X.	VBC	3.1	4	1	3	33%	0	0	-	1	3	33%	2	2	100%	1	1	2	0	3	1	0	2	0	1	-1	-3
Petrusev F., Martin H., Holland J., Vildoza L., Nedovic N.	CZV	1.9	7	2	2	100%	1	1	100%	3	3	100%	0	0	-	0	2	2	2	2	0	0	0	0	0	9	3
Petrusev F., Martin H., Holland J., Nedovic N., Markovic S.	CZV	2.9	2	1	1	100%	0	3	0%	1	4	25%	0	0	-	1	2	3	1	3	1	0	2	0	0	-1	-6
Pajola A., Lundberg I., Bako I., Mickey J., Belinelli M.	VIR	6.8	11	3	8	38%	1	4	25%	4	12	33%	2	3	67%	0	5	5	4	2	3	1	0	0	0	13	0
Pajola A., Cordinier I., Bako I., Weems K., Belinelli M.	VIR	4.3	11	2	4	50%	0	3	0%	2	7	29%	7	7	100%	3	3	6	2	2	3	2	1	0	0	16	6
Pajola A., Lundberg I., Bako I., Weems K., Belinelli M.	VIR	15.4	41	11	13	85%	6	13	46%	17	26	65%	1	2	50%	3	10	13	11	8	3	4	6	1	0	49	13
Hackett D., Lundberg I., Bako I., Weems K., Belinelli M.	VIR	3.4	0	0	2	0%	0	4	0%	0	6	0%	0	0	-	2	2	4	0	1	1	0	1	0	2	-5	-10
Petrusev F., Holland J., Vildoza L., Mitrovic L., Markovic S.	CZV	4.1	9	0	1	0%	3	3	100%	3	4	75%	0	0	-	0	1	1	2	2	3	3	3	0	0	12	-1
Lazic B., Holland J., Vildoza L., Mitrovic L., Dobric O.	CZV	0.2	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0
Bentil B., Holland J., Vildoza L., Mitrovic L., Dobric O.	CZV	2.6	7	2	5	40%	1	2	50%	3	7	43%	0	0	-	3	2	5	1	2	1	0	1	0	0	7	3
Pajola A., Lundberg I., Weems K., Jaiteh M., Belinelli M.	VIR	1.3	4	2	2	100%	0	0	-	2	2	100%	0	0	-	0	1	1	1	1	0	0	0	0	0	5	4
Hackett D., Lundberg I., Weems K., Jaiteh M., Belinelli M.	VIR	4.5	7	2	4	50%	1	4	25%	3	8	38%	0	0	-	2	4	6	3	3	2	1	2	0	1	8	-3
Lundberg I., Mickey J., Jaiteh M., Belinelli M., Mannion N.	VIR	5.5	13	2	5	40%	2	3	67%	4	8	50%	3	3	100%	0	3	3	3	3	4	2	2	1	1	16	2
Bentil B., Vildoza L., Mitrovic L., Nedovic N., Dobric O.	CZV	1.7	3	1	2	50%	0	0	-	1	2	50%	1	2	50%	1	0	1	1	1	3	0	1	0	1	3	3
Lundberg I., Mickey J., Weems K., Jaiteh M., Mannion N.	VIR	1.6	0	0	1	0%	0	1	0%	0	2	0%	0	0	-	0	1	1	0	0	1	0	0	0	0	0	-4
Pajola A., Bako I., Mickey J., Weems K., Mannion N.	VIR	0.7	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	-3
Bentil B., Mitrovic L., Nedovic N., Dobric O., Markovic S.	CZV	2.5	7	3	3	100%	0	1	0%	3	4	75%	1	3	33%	1	1	2	0	2	1	0	0	0	0	5	3
Pajola A., Mickey J., Weems K., Belinelli M., Mannion N.	VIR	1.6	4	1	2	50%	0	0	-	1	2	50%	2	2	100%	1	0	1	0	0	1	0	0	0	0	5	0
Bentil B., Lazic B., Mitrovic L., Nedovic N., Dobric O.	CZV	3.4	6	3	5	60%	0	3	0%	3	8	38%	0	0	-	0	2	2	1	1	0	2	0	1	0	6	-2
Cordinier I., Mickey J., Weems K., Belinelli M., Mannion N.	VIR	0.1	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	0
Pajola A., Cordinier I., Mickey J., Weems K., Jaiteh M.	VIR	1.7	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	0	0	1	0	1	1	0	0	1	3	-3
Bentil B., Vildoza L., Mitrovic L., Dobric O., Markovic S.	CZV	9.6	15	7	10	70%	0	3	0%	7	13	54%	1	2	50%	1	6	7	4	3	1	4	4	0	1	16	8
Pajola A., Lundberg I., Mickey J., Jaiteh M., Belinelli M.	VIR	1.1	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	1	1	0	0	1	0	0	0	0	4	0
Pajola A., Hackett D., Mickey J., Jaiteh M., Belinelli M.	VIR	1	5	1	1	100%	1	1	100%	2	2	100%	0	0	-	0	0	0	1	0	0	1	1	0	0	6	3
Pajola A., Hackett D., Weems K., Jaiteh M., Belinelli M.	VIR	2.4	0	0	2	0%	0	1	0%	0	3	0%	0	0	-	0	0	0	0	0	0	1	2	0	0	-4	-6
Bentil B., Lazic B., Martin H., Nedovic N., Markovic S.	CZV	3.7	4	2	5	40%	0	1	0%	2	6	33%	0	0	-	0	1	1	1	1	1	1	0	0	0	3	-2
Hackett D., Lundberg I., Cordinier I., Bako I., Weems K.	VIR	3.8	3	1	2	50%	0	2	0%	1	4	25%	1	1	100%	0	1	1	1	1	2	1	1	0	0	3	-4
Pajola A., Hackett D., Lundberg I., Cordinier I., Weems K.	VIR	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	1	0	0	0	1	0
Cordinier I., Mickey J., Weems K., Jaiteh M., Mannion N.	VIR	1.7	3	0	0	-	1	2	50%	1	2	50%	0	0	-	1	1	2	1	1	2	0	1	0	0	5	0
Pajola A., Cordinier I., Weems K., Jaiteh M., Mannion N.	VIR	3.7	11	2	2	100%	2	4	50%	4	6	67%	1	2	50%	1	3	4	4	1	0	1	1	1	0	16	7
Bentil B., Vildoza L., Mitrovic L., Nedovic N., Markovic S.	CZV	2.4	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	1	1	0	1	1	0	2	0	0	-2	-2
Petrusev F., Vildoza L., Mitrovic L., Nedovic N., Markovic S.	CZV	10.7	16	4	7	57%	2	7	29%	6	14	43%	2	2	100%	2	4	6	6	4	2	0	4	1	1	14	-11
Petrusev F., Vildoza L., Mitrovic L., Nedovic N., Topic N.	CZV	0.9	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	0	1	0	0	0	0	0	-3
Booker D., Akpinar I., Birsen M., Calathes N., Hayes N.	FBD	6.7	9	2	3	67%	1	5	20%	3	8	38%	2	2	100%	0	3	3	4	5	3	0	4	0	1	4	-10
Abalde A., Musa D., Deck G., Williams-Goss N., Tavares W.	RMB	3.9	10	3	4	75%	1	3	33%	4	7	57%	1	1	100%	1	3	4	2	1	3	0	0	2	0	17	6
Booker D., Motley J., Birsen M., Calathes N., Hayes N.	FBD	1.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	0	2	0	0	0	0	1	-2
Edwards C., Motley J., Birsen M., Calathes N., Hayes N.	FBD	2.3	2	1	4	25%	0	0	-	1	4	25%	0	2	0%	1	2	3	0	1	1	0	0	0	2	-2	-3
Edwards C., Motley J., Birsen M., Hayes N., Biberovic T.	FBD	1.7	1	0	2	0%	0	0	-	0	2	0%	1	2	50%	1	1	2	0	0	2	0	1	0	0	1	-4
Edwards C., Motley J., Mahmutoglu M., Biberovic T., Jekiri T.	FBD	6.2	16	4	8	50%	2	5	40%	6	13	46%	2	2	100%	3	2	5	3	4	3	1	0	0	1	16	7
Abalde A., Causeur F., Hezonja M., Llull S., Poirier V.	RMB	5.1	9	3	4	75%	1	4	25%	4	8	50%	0	0	-	2	4	6	2	3	4	0	2	1	0	13	-1
Abalde A., Causeur F., Hezonja M., Llull S., Tavares W.	RMB	2.3	5	1	1	100%	1	4	25%	2	5	40%	0	0	-	2	0	2	2	1	0	0	0	0	0	5	-1
Edwards C., Booker D., Motley J., Mahmutoglu M., Biberovic T.	FBD	1.6	4	2	2	100%	0	0	-	2	2	100%	0	0	-	0	1	1	2	0	1	0	0	0	0	8	-1
Edwards C., Booker D., Motley J., Mahmutoglu M., Calathes N.	FBD	2.7	2	0	1	0%	0	3	0%	0	4	0%	2	2	100%	0	1	1	0	0	1	0	0	0	0	0	-5
Abalde A., Musa D., Deck G., Hezonja M., Tavares W.	RMB	3.8	7	2	3	67%	1	1	100%	3	4	75%	0	2	0%	0	2	2	2	1	2	0	0	0	0	9	-3
Musa D., Deck G., Hezonja M., Rodriguez S., Poirier V.	RMB	7.6	15	2	6	33%	2	6	33%	4	12	33%	5	7	71%	2	3	5	0	1	5	1	0	0	1	14	-5
Booker D., Motley J., Mahmutoglu M., Calathes N., Hayes N.	FBD	3.6	7	2	5	40%	1	4	25%	3	9	33%	0	0	-	2	1	3	1	0	0	0	0	1	0	6	-9
Booker D., Birsen M., Calathes N., Hayes N., Biberovic T.	FBD	3.9	8	1	5	20%	1	2	50%	2	7	29%	3	3	100%	3	2	5	2	1	1	0	1	0	1	8	4
Booker D., Birsen M., Hayes N., Hazer S., Biberovic T.	FBD	1.4	5	2	4	50%	0	0	-	2	4	50%	1	2	50%	2	0	2	1	1	2	1	0	0	0	7	5
Edwards C., Booker D., Birsen M., Hayes N., Hazer S.	FBD	3	6	3	4	75%	0	0	-	3	4	75%	0	1	0%	0	0	0	1	3	2	3	1	0	0	6	2
Edwards C., Booker D., Motley J., Birsen M., Hazer S.	FBD	3.2	2	1	3	33%	0	1	0%	1	4	25%	0	0	-	0	1	1	1	3	1	1	1	0	0	-1	-2
Musa D., Deck G., Hezonja M., Llull S., Tavares W.	RMB	11	24	6	8	75%	2	5	40%	8	13	62%	6	7	86%	1	7	8	3	7	6	2	7	2	0	25	12
Booker D., Motley J., Mahmutoglu M., Birsen M., Hazer S.	FBD	0.7	0	0	1	0%	0	1	0%	0	2	0%	0	0	-	1	1	2	0	0	1	0	0	0	0	1	-2
Mahmutoglu M., Birsen M., Hayes N., Hazer S., Jekiri T.	FBD	3.2	9	3	3	100%	1	3	33%	4	6	67%	0	0	-	0	2	2	2	3	0	0	0	0	0	8	2
Butkevicius A., Evans K., Birutis L., Lekavicius L., Cavanaugh T.	ZAL	0.9	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	1	0	1	0	1	0	0	3	0
Gudaitis A., Kalaitzakis G., Ponitka M., Wolters N., Lee P.	PAO	0.9	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	0	0	0	1	0	1	0	0	0	2	0
Gudaitis A., Bacon D., Kalaitzakis G., Ponitka M., Lee P.	PAO	11.9	38	7	8	88%	6	7	86%	13	15	87%	6	10	60%	3	4	7	4	8	13	3	2	0	1	48	20
Williams D., Kalaitzakis G., Papagiannis G., Ponitka M., Wolters N.	PAO	2.2	4	2	5	40%	0	1	0%	2	6	33%	0	0	-	2	2	4	1	0	0	0	0	0	0	5	1
Williams D., Kalaitzakis G., Papagiannis G., Ponitka M., Kalaitzakis P.	PAO	0.6	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	1	1	0	0	1	0	0	1	0	5	2
Williams D., Kalaitzakis G., Ponitka M., Kalaitzakis P., Lee P.	PAO	0.2	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	0	2	0	0	0	0	0	0	0
Williams D., Kalaitzakis G., Ponitka M., Wolters N., Lee P.	PAO	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	0	0	0	1	0
Williams D., Bacon D., Kalaitzakis G., Ponitka M., Wolters N.	PAO	1.7	7	2	2	100%	1	1	100%	3	3	100%	0	0	-	0	2	2	2	1	0	0	1	0	0	9	5
Ulanovas E., Lukosiunas K., Evans K., Hayes K., Dimsa T.	ZAL	3.3	8	2	4	50%	1	1	100%	3	5	60%	1	2	50%	1	3	4	1	2	2	0	0	1	1	10	4
Ulanovas E., Lukosiunas K., Evans K., Smits R., Dimsa T.	ZAL	0.4	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	0	0	0	0	0	0	0	0	0	2	2
Ulanovas E., Lukosiunas K., Smits R., Dimsa T., Cavanaugh T.	ZAL	1.5	5	0	0	-	1	2	50%	1	2	50%	2	2	100%	0	0	0	1	1	1	0	1	0	0	4	0
Lukosiunas K., Lekavicius L., Smits R., Dimsa T., Cavanaugh T.	ZAL	1.8	5	1	2	50%	1	1	100%	2	3	67%	0	0	-	0	1	1	1	2	0	0	0	0	0	4	3
Bacon D., Papagiannis G., Ponitka M., Wolters N., Lee P.	PAO	11.9	24	5	16	31%	2	4	50%	7	20	35%	8	10	80%	5	10	15	4	6	9	2	1	2	2	32	8
Butkevicius A., Ulanovas E., Evans K., Birutis L., Dimsa T.	ZAL	4.4	10	2	4	50%	0	2	0%	2	6	33%	6	7	86%	1	2	3	1	0	1	0	2	0	1	7	-3
Ulanovas E., Brazdeikis I., Lukosiunas K., Evans K., Hayes K.	ZAL	0.1	0	0	0	-	0	1	0%	0	1	0%	0	0	-	1	0	1	0	0	0	0	1	0	1	-2	0
Obst A., Harris E., Gillespie F., Bonga I., Jaramaz O.	BAY	5	11	3	4	75%	1	4	25%	4	8	50%	2	2	100%	0	0	0	2	5	1	2	2	0	1	4	-5
Walden C., Harris E., Gillespie F., Bonga I., Jaramaz O.	BAY	6.3	14	4	6	67%	2	4	50%	6	10	60%	0	2	0%	1	4	5	2	4	3	1	2	0	1	12	0
Winston C., Walden C., Harris E., Gillespie F., Weiler-Babb N.	BAY	3.7	11	2	5	40%	1	3	33%	3	8	38%	4	5	80%	3	2	5	2	2	2	0	1	0	1	10	5
Poythress A., Dibartolomeo J., Brown L., Menco R., Sorkin R.	MTA	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	0	0	0	-1	-2
Winston C., Walden C., Harris E., Weiler-Babb N., Hunter O.	BAY	3.8	10	2	4	50%	2	2	100%	4	6	67%	0	0	-	1	2	3	1	2	1	0	2	0	0	9	-1
Winston C., Walden C., Weiler-Babb N., Hunter O., Zipser P.	BAY	6.2	9	3	7	43%	0	3	0%	3	10	30%	3	3	100%	3	3	6	0	3	4	2	2	0	1	8	0
Adams J., Martin J., Dibartolomeo J., Nebo J., Menco R.	MTA	1.3	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	1	1	1	1	1	0	0	0	0	5	1
Poythress A., Hollins A., Adams J., Martin J., Dibartolomeo J.	MTA	1	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	0	0	0	0	1	1	0	0	0	3	1
Winston C., Walden C., Gillespie F., Weiler-Babb N., Zipser P.	BAY	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	1	1	0	0	0	2	0
Poythress A., Hollins A., Adams J., Martin J., Brown L.	MTA	0.5	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	1	0	0	-2	-5
Winston C., Walden C., Harris E., Gillespie F., Bonga I.	BAY	3.8	7	1	2	50%	1	3	33%	2	5	40%	2	2	100%	2	2	4	1	0	2	0	2	1	0	10	5
Poythress A., Hollins A., Colson B., Brown L., Sorkin R.	MTA	1.7	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	1	3	0	0	-3	-7
Poythress A., Colson B., Adams J., Martin J., Brown L.	MTA	2.9	4	2	3	67%	0	2	0%	2	5	40%	0	0	-	1	2	3	0	0	2	0	1	0	0	5	-3
Poythress A., Adams J., Martin J., Nebo J., Brown L.	MTA	0.9	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	0	0	1	0	0	0	0	3	0
Poythress A., Colson B., Adams J., Martin J., Nebo J.	MTA	0.6	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	0	1	0	0	0	0	2	0
Obst A., Winston C., Walden C., Harris E., Gillespie F.	BAY	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	1	0	0	-2	-2
Poythress A., Hollins A., Colson B., Martin J., Menco R.	MTA	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	1	0	0	0	0	1	0
Colson B., Adams J., Martin J., Brown L., Menco R.	MTA	0.9	2	0	0	-	0	2	0%	0	2	0%	2	2	100%	0	0	0	0	2	2	0	0	0	0	0	-2
Walden C., Harris E., Bonga I., Weiler-Babb N., Hunter O.	BAY	3.4	12	2	3	67%	2	3	67%	4	6	67%	2	2	100%	1	2	3	4	0	1	0	1	0	0	17	2
Winston C., Harris E., Gillespie F., Bonga I., Weiler-Babb N.	BAY	1.2	0	0	2	0%	0	4	0%	0	6	0%	0	0	-	5	0	5	0	1	2	0	0	0	0	0	-2
Winston C., Gillespie F., Bonga I., Weiler-Babb N., Hunter O.	BAY	0.2	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	0	0	0	0	0	0	0	0	0	2	2
Winston C., Bonga I., Weiler-Babb N., Hunter O., Zipser P.	BAY	2.2	3	0	2	0%	1	1	100%	1	3	33%	0	0	-	1	2	3	0	1	3	0	2	0	0	4	-2
Poythress A., Adams J., Martin J., Dibartolomeo J., Nebo J.	MTA	0.9	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	2	0	0	-2	-3
Poythress A., Hollins A., Adams J., Martin J., Nebo J.	MTA	0.5	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	1	1	0	0	1	0	0	0	0	4	2
Obst A., Harris E., Bonga I., Weiler-Babb N., Zipser P.	BAY	0.5	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	1	1	0	0	1	0	0	0	0	2	1
Obst A., Harris E., Gillespie F., Bonga I., Weiler-Babb N.	BAY	3.2	5	1	1	100%	0	1	0%	1	2	50%	3	4	75%	0	2	2	0	1	3	0	0	0	0	7	-2
Obst A., Walden C., Gillespie F., Bonga I., Weiler-Babb N.	BAY	0.8	3	0	1	0%	1	1	100%	1	2	50%	0	0	-	1	0	1	1	1	0	0	1	0	1	1	0
Poythress A., Hollins A., Martin J., Nebo J., Brown L.	MTA	1.3	1	0	0	-	0	0	-	0	0	-	1	1	100%	0	0	0	0	0	0	0	1	1	0	1	-1
Obst A., Walden C., Harris E., Gillespie F., Bonga I.	BAY	3.7	7	2	4	50%	1	2	50%	3	6	50%	0	0	-	2	0	2	2	4	0	2	1	0	0	5	-1
Winston C., Walden C., Harris E., Bonga I., Hunter O.	BAY	4.5	11	4	8	50%	1	2	50%	5	10	50%	0	0	-	2	3	5	0	4	1	1	1	0	0	8	0
